# balticporter port map	schema=4	module=sge-gltf-test	engine=balticporter/0.1.0-SNAPSHOT	sources=b4b23a0b3f213f16	files=1	policy=391c2bc38fbfebdf	jdk=22
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	net.mgsx.gltf.scene3d.attributes.AttributesCompareTest	sge.gltf.scene3d.attributes.AttributesCompareTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.net.NetJavaImpl	sge.net.NetJavaImpl	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.Align	sge.utils.Align	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.Array	sge.utils.Array	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.ArrayMap	sge.utils.ArrayMap	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.Bits	sge.utils.Bits	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.BooleanArray	sge.utils.BooleanArray	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.ByteArray	sge.utils.ByteArray	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.CharArray	sge.utils.CharArray	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.DelayedRemovalArray	sge.utils.DelayedRemovalArray	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.Disposable	sge.utils.Disposable	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.FloatArray	sge.utils.FloatArray	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.IdentityMap	sge.utils.IdentityMap	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.IntArray	sge.utils.IntArray	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.IntFloatMap	sge.utils.IntFloatMap	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.IntIntMap	sge.utils.IntIntMap	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.IntMap	sge.utils.IntMap	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.IntSet	sge.utils.IntSet	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.Json	sge.utils.Json	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.LongArray	sge.utils.LongArray	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.LongMap	sge.utils.LongMap	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.ObjectFloatMap	sge.utils.ObjectFloatMap	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.ObjectIntMap	sge.utils.ObjectIntMap	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.ObjectLongMap	sge.utils.ObjectLongMap	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.ObjectMap	sge.utils.ObjectMap	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.ObjectSet	sge.utils.ObjectSet	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.OrderedMap	sge.utils.OrderedMap	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.OrderedSet	sge.utils.OrderedSet	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.Pool	sge.utils.Pool	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.Pools	sge.utils.Pools	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.Queue	sge.utils.Queue	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.ReflectionPool	sge.utils.ReflectionPool	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.ShortArray	sge.utils.ShortArray	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.SnapshotArray	sge.utils.SnapshotArray	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.reflect.Annotation	sge.utils.reflect.Annotation	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.reflect.ArrayReflection	sge.utils.reflect.ArrayReflection	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.reflect.ClassReflection	sge.utils.reflect.ClassReflection	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.reflect.Constructor	sge.utils.reflect.Constructor	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.reflect.Field	sge.utils.reflect.Field	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.reflect.Method	sge.utils.reflect.Method	Dropped	-		0		form=class
type	com.badlogic.gdx.utils.reflect.ReflectionException	sge.utils.reflect.ReflectionException	Dropped	-		0		form=class
type	net.mgsx.gltf.data.geometry.GLTFMorphTarget	sge.gltf.data.geometry.GLTFMorphTarget	Dropped	-		0		form=class
type		balticporter.runtime.JavaCollection	Added	-		0		
type		balticporter.runtime.JavaCollections	Added	-		0		
type		balticporter.runtime.JavaEnumMap	Added	-		0		
type		balticporter.runtime.JavaEnumSet	Added	-		0		
type		balticporter.runtime.JavaIterable	Added	-		0		
type		balticporter.runtime.JavaIterator	Added	-		0		
type		balticporter.runtime.JavaListIterator	Added	-		0		
type		balticporter.runtime.JavaOptionalDouble	Added	-		0		
type		balticporter.runtime.JavaOptionalInt	Added	-		0		
type		balticporter.runtime.JavaOptionalLong	Added	-		0		
type		balticporter.runtime.JavaStack	Added	-		0		
member	net.mgsx.gltf.scene3d.attributes.AttributesCompareTest#<stmt1>	sge.gltf.scene3d.attributes.AttributesCompareTest#<stmt1>	Renamed	-	net/mgsx/gltf/scene3d/attributes/AttributesCompareTest.java	12	973e1172a0057d1b	
member	net.mgsx.gltf.scene3d.attributes.AttributesCompareTest#<stmt2>	sge.gltf.scene3d.attributes.AttributesCompareTest#<stmt2>	Renamed	-	net/mgsx/gltf/scene3d/attributes/AttributesCompareTest.java	18	04259590d79455b5	
member	net.mgsx.gltf.scene3d.attributes.AttributesCompareTest#<stmt3>	sge.gltf.scene3d.attributes.AttributesCompareTest#<stmt3>	Renamed	-	net/mgsx/gltf/scene3d/attributes/AttributesCompareTest.java	26	c8603b940698eff8	
member	net.mgsx.gltf.scene3d.attributes.AttributesCompareTest#<stmt4>	sge.gltf.scene3d.attributes.AttributesCompareTest#<stmt4>	Renamed	-	net/mgsx/gltf/scene3d/attributes/AttributesCompareTest.java	32	78e99ace1cb24a55	
member	net.mgsx.gltf.scene3d.attributes.AttributesCompareTest#<stmt5>	sge.gltf.scene3d.attributes.AttributesCompareTest#<stmt5>	Renamed	-	net/mgsx/gltf/scene3d/attributes/AttributesCompareTest.java	40	694264024b18784f	
member	net.mgsx.gltf.scene3d.attributes.AttributesCompareTest#<stmt6>	sge.gltf.scene3d.attributes.AttributesCompareTest#<stmt6>	Renamed	-	net/mgsx/gltf/scene3d/attributes/AttributesCompareTest.java	46	ec2328b0c740b168	
member	net.mgsx.gltf.scene3d.attributes.AttributesCompareTest#<stmt7>	sge.gltf.scene3d.attributes.AttributesCompareTest#<stmt7>	Renamed	-	net/mgsx/gltf/scene3d/attributes/AttributesCompareTest.java	54	351c7c2b08e30919	
member	net.mgsx.gltf.scene3d.attributes.AttributesCompareTest#<stmt8>	sge.gltf.scene3d.attributes.AttributesCompareTest#<stmt8>	Renamed	-	net/mgsx/gltf/scene3d/attributes/AttributesCompareTest.java	65	ecb0592938ac73c7	
member	com.badlogic.gdx.graphics.g3d.particles.ParallelArray$ChannelDescriptor#<init>(int,Class,int)		Dropped	-		0		
member	com.badlogic.gdx.graphics.g3d.particles.batches.BufferedParticleBatch#<init>(Class)		Dropped	-		0		
member	com.badlogic.gdx.scenes.scene2d.ui.Skin#findMethod		Dropped	-		0		
member	com.badlogic.gdx.scenes.scene2d.ui.Skin#setEnabledReflection		Dropped	-		0		
member	com.badlogic.gdx.utils.Array#<init>(Class)		Dropped	-		0		
member	com.badlogic.gdx.utils.Array#<init>(boolean,int,Class)		Dropped	-		0		
member	com.badlogic.gdx.utils.Array#of(Class)		Dropped	-		0		
member	com.badlogic.gdx.utils.Array#of(boolean,int,Class)		Dropped	-		0		
member	com.badlogic.gdx.utils.Array#toArray(Class)		Dropped	-		0		
member	com.badlogic.gdx.utils.ArrayMap#<init>(Class,Class)		Dropped	-		0		
member	com.badlogic.gdx.utils.ArrayMap#<init>(boolean,int,Class,Class)		Dropped	-		0		
member	com.badlogic.gdx.utils.DelayedRemovalArray#<init>(Class)		Dropped	-		0		
member	com.badlogic.gdx.utils.DelayedRemovalArray#<init>(boolean,int,Class)		Dropped	-		0		
member	com.badlogic.gdx.utils.Queue#<init>(int,Class)		Dropped	-		0		
member	com.badlogic.gdx.utils.SnapshotArray#<init>(Class)		Dropped	-		0		
member	com.badlogic.gdx.utils.SnapshotArray#<init>(boolean,int,Class)		Dropped	-		0		
